name	smiles	source
Abacavir	Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1	HIPS/molecule-autoencoder all_drugs.smi
Abiraterone	CC(=O)O[C@H]1CC[C@@]2(C)C(=CCC3C2CC[C@]2(C)C(c4cccnc4)=CCC32)C1	HIPS/molecule-autoencoder all_drugs.smi
Acamprosate	CC(=O)NCCCS(=O)(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Acebutolol	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1	HIPS/molecule-autoencoder all_drugs.smi
Acenocoumarol	CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O	HIPS/molecule-autoencoder all_drugs.smi
Acepromazine	CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2	HIPS/molecule-autoencoder all_drugs.smi
Aceprometazine	CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2	HIPS/molecule-autoencoder all_drugs.smi
Acetaminophen	CC(=O)Nc1ccc(O)cc1	HIPS/molecule-autoencoder all_drugs.smi
Acetazolamide	CC(=O)Nc1nnc(S(N)(=O)=O)s1	HIPS/molecule-autoencoder all_drugs.smi
Acetohexamide	CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Acetophenazine	CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2	HIPS/molecule-autoencoder all_drugs.smi
Acetylcysteine	CC(=O)N[C@@H](CS)C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Acetylsalicylic	CC(=O)Oc1ccccc1C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Acitretin	COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C	HIPS/molecule-autoencoder all_drugs.smi
Acyclovir	Nc1nc(=O)c2ncn(COCCO)c2[nH]1	HIPS/molecule-autoencoder all_drugs.smi
Adapalene	COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2	HIPS/molecule-autoencoder all_drugs.smi
Adefovir	CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C	HIPS/molecule-autoencoder all_drugs.smi
Adenine	Nc1ncnc2nc[nH]c12	HIPS/molecule-autoencoder all_drugs.smi
Adenosine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	HIPS/molecule-autoencoder all_drugs.smi
Adenosine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	HIPS/molecule-autoencoder all_drugs.smi
Adinazolam	CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	HIPS/molecule-autoencoder all_drugs.smi
Afatinib	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	HIPS/molecule-autoencoder all_drugs.smi
Agomelatine	COc1ccc2cccc(CCNC(C)=O)c2c1	HIPS/molecule-autoencoder all_drugs.smi
Albendazole	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1	HIPS/molecule-autoencoder all_drugs.smi
Alcaftadine	CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1	HIPS/molecule-autoencoder all_drugs.smi
Alendronate	NCCCC(O)(P(=O)(O)O)P(=O)(O)O	HIPS/molecule-autoencoder all_drugs.smi
Alfentanil	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	HIPS/molecule-autoencoder all_drugs.smi
Alfuzosin	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	HIPS/molecule-autoencoder all_drugs.smi
Alitretinoin	CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1	HIPS/molecule-autoencoder all_drugs.smi
Alizapride	C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC	HIPS/molecule-autoencoder all_drugs.smi
Allopurinol	O=c1ncnc2[nH][nH]cc1-2	HIPS/molecule-autoencoder all_drugs.smi
Allylestrenol	C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C	HIPS/molecule-autoencoder all_drugs.smi
Almitrine	C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1	HIPS/molecule-autoencoder all_drugs.smi
Almotriptan	CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	HIPS/molecule-autoencoder all_drugs.smi
Alogliptin	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O	HIPS/molecule-autoencoder all_drugs.smi
