seed,method,seed_qed,attempted,n_valid,validity,uniqueness,novelty,n_kept,mean_tanimoto_kept,max_tanimoto_kept,mean_qed_kept,mean_delta_qed,max_delta_qed,frac_improved,mean_sa_kept
isoniazid,classical_gru,0.31657867877201074,160,160,1.0,0.58125,0.575,34,0.49550424583979646,0.6,0.3126654378913864,-0.003913240880624332,0.13268924862517184,0.35294117647058826,2.1634642715894197
isoniazid,hybrid_qcbm,0.31657867877201074,160,160,1.0,0.3875,0.3875,8,0.548339093701997,0.6071428571428571,0.3081050549199168,-0.00847362385209393,0.020268111018982293,0.5,2.200295341144548
aspirin,classical_gru,0.5501217966938848,160,160,1.0,0.68125,0.675,52,0.5492304122429039,0.7931034482758621,0.5659748314605084,0.015853034766623468,0.2703968602003739,0.6730769230769231,1.9846674091385201
aspirin,hybrid_qcbm,0.5501217966938848,160,160,1.0,0.4375,0.43125,15,0.5638531618202459,0.6896551724137931,0.5923790186312698,0.04225722193738503,0.13560926876544965,0.6,1.8941000570601716
caffeine,classical_gru,0.5384628262372215,160,160,1.0,0.81875,0.8125,0,,,,,,,
caffeine,hybrid_qcbm,0.5384628262372215,160,160,1.0,0.3375,0.33125,15,0.5497262522553636,0.6666666666666666,0.6233637294610006,0.08490090322377908,0.2622440070777945,0.8666666666666667,2.6447158581681407
acetaminophen,classical_gru,0.5950261967780848,160,160,1.0,0.53125,0.525,33,0.5169096831645658,0.6666666666666666,0.6579848261452643,0.06295862936717944,0.22985284950285712,0.7878787878787878,1.7692303998518575
acetaminophen,hybrid_qcbm,0.5950261967780848,160,160,1.0,0.35,0.35,9,0.5404386217882695,0.5925925925925926,0.5715937004829811,-0.02343249629510375,0.12818672882277682,0.5555555555555556,1.7329767994184082
sulfanilamide,classical_gru,0.5805509816764027,160,160,1.0,0.625,0.61875,8,0.4721599002849003,0.5416666666666666,0.5792573174591169,-0.001293664217285856,0.09794241905486889,0.625,2.1191057589671454
sulfanilamide,hybrid_qcbm,0.5805509816764027,160,160,1.0,0.2875,0.275,11,0.4629626954432294,0.5,0.5846418023002743,0.004090820623871571,0.20658857610106507,0.6363636363636364,2.1341663721343194
ibuprofen,classical_gru,0.8215995486924976,160,160,1.0,0.4625,0.45625,6,0.5552762690693724,0.6896551724137931,0.7916969939605911,-0.02990255473190656,0.04932100812604667,0.5,2.6270979268424415
ibuprofen,hybrid_qcbm,0.8215995486924976,160,160,1.0,0.3375,0.3375,10,0.6068979832891123,0.7,0.8163040590542188,-0.005295489638278761,0.030607694287364984,0.6,2.4900886414543395
