seed,method,smiles,delta_qed,tanimoto,qed,sa
isoniazid,classical_gru,NNC(=O)c1ccncc1-c1ccccc1,0.13268924862517184,0.4444444444444444,0.4492679273971826,1.875079913475421
isoniazid,hybrid_qcbm,Cc1cc(C(=O)NN)ccn1,0.020268111018982293,0.5483870967741935,0.33684678979099303,2.093841874758768
aspirin,classical_gru,CC(=O)Oc1cccnc1Nc1ccccc1,0.2703968602003739,0.46153846153846156,0.8205186568942587,1.8385004907887499
aspirin,hybrid_qcbm,COC(=O)c1ccccc1OC(=O)c1ccccc1O,0.13560926876544965,0.43243243243243246,0.6857310654593345,1.7255363997870425
caffeine,classical_gru,,,,,
caffeine,hybrid_qcbm,CC(=O)CCC(C)Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.2622440070777945,0.4888888888888889,0.800706833315016,3.059851911131749
acetaminophen,classical_gru,CC(=O)Nc1ccc(OCCC(C)(C)O)cc1,0.22985284950285712,0.4444444444444444,0.8248790462809419,1.8351856453857085
acetaminophen,hybrid_qcbm,COc1ccc(NC(C)=O)cc1,0.12818672882277682,0.5925925925925926,0.7232129256008616,1.2193163865826637
sulfanilamide,classical_gru,CN(C)c1cc(S(N)(=O)=O)ccc1N,0.09794241905486889,0.43333333333333335,0.6784934007312716,2.226026739538291
sulfanilamide,hybrid_qcbm,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,0.20658857610106507,0.41935483870967744,0.7871395577774678,1.953467543379018
ibuprofen,classical_gru,CC(C)Cc1ccc(C(C)C(=O)O)cc1Cl,0.04932100812604667,0.5555555555555556,0.8709205568185443,2.4613548429709873
ibuprofen,hybrid_qcbm,CC(C)Cc1ccc(C(C)C(=O)O)c(F)c1,0.030607694287364984,0.5555555555555556,0.8522072429798626,2.529708689124833
